Contract Symbol,Last Price,Bid,Ask,Last Trade Date,Expiry,Strike,Option Type,Open Interest,Volume,Implied Volatility,Spot Price,Discount Rate,Direct Discount Rate,Smooth Discount Rate
AAPL260429P00272500,5.6,5.4,5.75,2026-04-27 15:59:42.000000,2026-04-29,272.5,put,604.0,449.0,0.2922,267.8699,0.045,0.045,0.045
AAPL260429C00275000,0.38,0.38,0.39,2026-04-27 15:59:59.000000,2026-04-29,275.0,call,5541.0,14226.0,0.3119,267.8699,0.045,0.045,0.045
AAPL260429P00275000,8.15,7.1,8.1,2026-04-27 15:31:12.000000,2026-04-29,275.0,put,605.0,96.0,0.2563,267.8699,0.045,0.045,0.045
AAPL260429C00277500,0.21,0.2,0.21,2026-04-27 15:59:52.000000,2026-04-29,277.5,call,5050.0,6523.0,0.3285,267.8699,0.045,0.045,0.045
AAPL260429P00277500,10.9,8.55,11.25,2026-04-27 15:21:39.000000,2026-04-29,277.5,put,59.0,37.0,0.5039024742023811,267.8699,0.045,0.045,0.045
AAPL260429C00280000,0.1,0.11,0.12,2026-04-27 15:59:43.000000,2026-04-29,280.0,call,30085.0,36247.0,0.346,267.8699,0.045,0.045,0.045
AAPL260429P00280000,13.1,10.85,14.3,2026-04-27 10:15:56.000000,2026-04-29,280.0,put,34.0,1.0,0.3663,267.8699,0.045,0.045,0.045
AAPL260429C00282500,0.06,0.05,0.06,2026-04-27 15:59:51.000000,2026-04-29,282.5,call,1114.0,1279.0,0.3573,267.8699,0.045,0.045,0.045
AAPL260429P00282500,9.6,13.6,16.55,2026-04-23 11:59:09.000000,2026-04-29,282.5,put,10.0,0.0,0.4226,267.8699,0.045,0.045,0.045
AAPL260429C00285000,0.03,0.03,0.04,2026-04-27 15:59:22.000000,2026-04-29,285.0,call,3243.0,3065.0,0.3805,267.8699,0.045,0.045,0.045
AAPL260429P00285000,11.06,15.55,19.3,2026-04-23 15:27:32.000000,2026-04-29,285.0,put,4.0,0.0,0.7858788537128208,267.8699,0.045,0.045,0.045
