ticker,name,category,marketCap
SIE.DE,SIE,large,
SIRI.OQ,SIRI,unclassified,
SMIN.L,SMIN,unclassified,
SMT.L,SMT,large,
SN.L,SN,large,
SNPS.OQ,SNPS,unclassified,
SNY.N,SNY,unclassified,
SO.N,SO,unclassified,
SOGN.PA,SOGN,unclassified,
SOLB.BR,SOLB,unclassified,
SONY.N,SONY,unclassified,
SPLK.OQ,SPLK,unclassified,
SPM.MI,SPM,large,
SPX.L,SPX,large,
SSE.L,SSE,large,
STLA.MI,STLA,large,
STM.PA,STM,unclassified,
SU.PA,SU,large,
SVS.L,SVS,large,
SWKS.OQ,SWKS,unclassified,
SYK.N,SYK,large,
T.N,T,unclassified,
TCEHY.OQ,TCEHY,mid,
TCOM.OQ,TCOM,unclassified,
TEAM.OQ,TEAM,unclassified,
TEF.MC,TEF,large,
TELIA1.HE,TELIA1,unclassified,
TEN.MI,TEN,large,
TEVA.P,TEVA,unclassified,
TIT.MI,TIT,large,
TKWY.AS,TKWY,unclassified,
TMO.N,TMO,large,
TMUS.OQ,TMUS,large,
TNET.BR,TNET,unclassified,
TOTF.PA,TOTF,unclassified,
TRN.L,TRN,unclassified,
TRN.MI,TRN,unclassified,
TSCO.L,TSCO,unclassified,
TSLA.OQ,TSLA,large,
TUI.L,TUI,unclassified,
TW.L,TW,large,
TWTR.N,TWTR,unclassified,
TXN.OQ,TXN,large,
UBER.N,UBER,large,
UCG.MI,UCG,large,
ULTA.OQ,ULTA,unclassified,
ULVR.L,ULVR,large,
UMIC.BR,UMIC,unclassified,
UNA.AS,UNA,unclassified,
UNH.N,UNH,large,
UNI.MI,UNI,unclassified,
UNP.N,UNP,large,
UP.HE,UP,unclassified,
UPM.HE,UPM,unclassified,
UPS.N,UPS,large,
USB.N,USB,unclassified,
UTX.N,UTX,unclassified,
UU.L,UU,large,
V.N,V,large,
VALMT.HE,VALMT,unclassified,
VAR1.DE,VAR1,unclassified,
VGP.BR,VGP,unclassified,
VIE.PA,VIE,unclassified,
VIV.PA,VIV,unclassified,
VOD.L,VOD,unclassified,
VOW3.DE,VOW3,large,
VPK.AS,VPK,unclassified,
VRSK.OQ,VRSK,unclassified,
VRTX.OQ,VRTX,unclassified,
VTY.L,VTY,unclassified,
VZ.N,VZ,large,
WBA.N,WBA,unclassified,
WBA.OQ,WBA,unclassified,
WCR.PA,WCR,large,
WDAY.OQ,WDAY,large,
WDP.AS,WDP,unclassified,
WDP.BR,WDP,unclassified,
WEIR.L,WEIR,large,
WFC.N,WFC,unclassified,
WHR.L,WHR,unclassified,
WHR.N,WHR,unclassified,
WIZZ.L,WIZZ,unclassified,
WKL.AS,WKL,unclassified,
WMT.N,WMT,large,
WPG.L,WPG,large,
WPP.L,WPP,large,
WRT1V.HE,WRT1V,large,
WTB.L,WTB,large,
XEL.N,XEL,unclassified,
XEL.OQ,XEL,unclassified,
XOM.N,XOM,large,
ZALG.DE,ZALG,unclassified,
ZM.OQ,ZM,large,
ZS.OQ,ZS,large,
ZTS.N,ZTS,mid,
